name,number_living
Addileigh,70.63851
Addiley,29.82592
Addiline,40.77626
Addilyn,8813.71187
Addilyna,4.9726
Addilyne,84.55501
Addilynn,4017.22001
Addilynne,141.24442
Addine,1.66255
Addington,17.88761
Addis,337.43192
Addisan,15.898800000000001
Addisen,1188.46872
Addisin,34.79681
Addison,149343.82512
Addisson,90.44094
Addiston,4.96965
Addisun,15.90726
Addisyn,9561.09258
Addisynn,238.68643
Addix,9.932400000000001
Addle,0.2420999999999999
Addlee,34.81205
Addleigh,13.92592
Addler,4.9719
Addley,267.62394
Addlie,5.96448
Addlyn,38.819919999999996
Addlynn,38.818889999999996
Addonis,33.79468
Addox,5.0
Addriana,4.9639
Addrianna,15.84745
Addrienne,14.70372
Addsion,4.96865
Addy,1407.21721
Addylan,9.9421
Addylen,5.9649600000000005
Addylin,139.28987
Addyline,34.80819
Addylyn,51.708479999999994
Addylynn,104.4688
Addysan,46.70966
Addysen,1100.25405
Addysin,122.27133
Addysn,5.96358
Addyson,16307.55406
Addysun,12.919889999999999
Addysyn,132.21598
Ade,358.01988
Adea,162.9219
Adean,64.32307
Adeana,182.57489
Adeanna,4.88465
Adebayo,127.48545
Adebisi,9.87245
Adebola,54.22962
Adebowale,23.39299
Adecyn,27.84832
Adedamola,147.74494
Adedayo,66.26322
